iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,1.0,0.0,0.9981838749167092,0.0010152546403690346,0.09627769556583174,0.04021397732923215,0.09741529355660876,0.04052973295151577
1,1.0,0.0,0.9981838749167092,0.0010152546403690346,0.017226466943389356,0.005853010955216198,0.01849882149136277,0.006583627848504846
2,1.0,0.0,1.0,0.0,0.004573599690122081,0.0018192749349984778,0.005004263452577082,0.001992712022731122
3,1.0,0.0,1.0,0.0,0.0014160544585349456,0.0006271929481032766,0.00184088609276122,0.0007812892084819054
4,1.0,0.0,1.0,0.0,0.0010585811896326363,0.0006077612809036409,0.0014562246380422188,0.000702444359814294
5,1.0,0.0,1.0,0.0,0.0009068737341109834,0.0004816127470954062,0.001208173255571544,0.000657681022854059
6,1.0,0.0,1.0,0.0,0.0006361530326088915,0.0004981251684202737,0.000864241058701009,0.0005435744343456314
7,1.0,0.0,1.0,0.0,0.0005662065713162996,0.0005289363946736676,0.0007106846911965486,0.0005027510329953904
8,1.0,0.0,1.0,0.0,0.0005690970426514255,0.0005640622217387337,0.0006185044396495292,0.0004440360654417804
9,1.0,0.0,1.0,0.0,0.0005798880418041427,0.0005913069565869142,0.0005822116280613341,0.00042939629639128794
10,1.0,0.0,1.0,0.0,0.0004571862881943138,0.0006848533902619945,0.000407489797307277,0.0002777515519031503
11,1.0,0.0,1.0,0.0,0.00048103789861315814,0.0007973540881098185,0.0003600088552860072,0.0002711563023660429
12,1.0,0.0,1.0,0.0,0.0004829741522702096,0.0008630680254570036,0.00031512636335796404,0.00024293517614690224
13,1.0,0.0,1.0,0.0,0.0004286130304547919,0.0007382192899634208,0.00024587857632193586,0.00018440560199322096
14,1.0,0.0,1.0,0.0,0.0004520788678246929,0.0007870084024596494,0.00023723901663462652,0.00018137463814955795
15,1.0,0.0,1.0,0.0,0.0004506861284325135,0.0007850842437503677,0.0002158977588689858,0.00017135260286979312
16,1.0,0.0,1.0,0.0,0.0004732440874949501,0.0008361674715580452,0.00020238407725126553,0.00016698551839148162
17,1.0,0.0,1.0,0.0,0.00047996456634206535,0.0009303453806307635,0.00016829475214180794,0.00012272277757061922
18,1.0,0.0,1.0,0.0,0.00041669187558810664,0.0008003062514522412,0.00014646328431802049,0.00011108170105136464
19,1.0,0.0,1.0,0.0,0.00041841608173009623,0.000799450499686263,0.00012231435001205942,7.845213151397008e-05
20,1.0,0.0,1.0,0.0,0.0004402230337923841,0.0008478760191286359,0.00010929560215574049,6.283978902377355e-05
21,1.0,0.0,1.0,0.0,0.00045301759684175544,0.0008924057044798207,9.054073277761032e-05,5.271215680442021e-05
22,1.0,0.0,1.0,0.0,0.0004141401028090258,0.0008055658174632242,8.687142844553034e-05,5.2609857571776094e-05
23,1.0,0.0,1.0,0.0,0.0004181986229308091,0.0008512732271112708,6.967528456673748e-05,3.291993519748692e-05
24,1.0,0.0,1.0,0.0,0.0004181983881070121,0.0008512733668077966,6.967293136191197e-05,3.291742455275192e-05
25,1.0,0.0,1.0,0.0,0.0004023142682758124,0.0008215761808981981,6.343277540459307e-05,3.1304948531875254e-05
26,1.0,0.0,1.0,0.0,0.000379454445976967,0.0007703187367575972,6.089168377909465e-05,3.030280550885975e-05
27,1.0,0.0,1.0,0.0,0.000361868276931435,0.0007316697720202924,5.7381759989146225e-05,3.028475889976579e-05
28,1.0,0.0,1.0,0.0,0.0003616001309653134,0.0007318934627468051,5.622656806382059e-05,3.0455709663153745e-05
29,1.0,0.0,1.0,0.0,0.0003798448389799991,0.0007760407296311446,5.274655929632505e-05,2.9990272219304555e-05
30,1.0,0.0,1.0,0.0,0.00038041302099784655,0.0007757349971858452,5.112650086064707e-05,2.8399997100162877e-05
31,1.0,0.0,1.0,0.0,0.00039923811122705665,0.0008178105292735459,5.03318605863139e-05,2.8761099268279094e-05
32,1.0,0.0,1.0,0.0,0.0003967324354745345,0.000819254556703174,4.681576725143622e-05,2.4245454967778047e-05
33,1.0,0.0,1.0,0.0,0.0004149617593692266,0.0008600022537708574,4.646818952356204e-05,2.4403938883678323e-05
34,1.0,0.0,1.0,0.0,0.00039521422914613866,0.0008154869866668623,4.486526942596584e-05,2.525769304332278e-05
35,1.0,0.0,1.0,0.0,0.00039533497022648575,0.0008154213470991479,4.2994931719439796e-05,2.3380207362151653e-05
36,1.0,0.0,1.0,0.0,0.0003953501883714633,0.0008155316257363433,4.2644586219793554e-05,2.358906104912358e-05
37,1.0,0.0,1.0,0.0,0.0003923104577836079,0.0008172115611773508,3.968329045405461e-05,2.222776618431734e-05
38,1.0,0.0,1.0,0.0,0.00039242385940728723,0.0008171480871044374,3.921641088153217e-05,2.209273576317768e-05
39,1.0,0.0,1.0,0.0,0.0003882282020772478,0.0008193451514691194,3.493883365448539e-05,1.4253182813175594e-05
40,1.0,0.0,1.0,0.0,0.0003882615379046519,0.0008193258323486905,3.403312858425022e-05,1.4858576365443876e-05
41,1.0,0.0,1.0,0.0,0.00038826143498528964,0.0008193258920259698,3.403262940569688e-05,1.485898059595974e-05
42,1.0,0.0,1.0,0.0,0.0003883054593560165,0.0008193016180467498,3.354414739548387e-05,1.4510165185346204e-05
43,1.0,0.0,1.0,0.0,0.0003880193985414367,0.0008194551438927394,3.300060894495747e-05,1.362246084943415e-05
44,1.0,0.0,1.0,0.0,0.0004361198238507039,0.000930024483699396,3.143733378356515e-05,1.3061744351853754e-05
45,1.0,0.0,1.0,0.0,0.0004708124541205093,0.001017272220279808,2.599403255597345e-05,7.441393006191314e-06
46,1.0,0.0,1.0,0.0,0.00046903660421852356,0.0010182670466682032,2.4198287875907155e-05,8.51507403765895e-06
47,1.0,0.0,1.0,0.0,0.0005001072068791955,0.001088123323259757,2.333496115814364e-05,7.808405254526753e-06
48,1.0,0.0,1.0,0.0,0.0004827421371459303,0.0010492930358465896,2.291727819468527e-05,7.650756770225966e-06
49,1.0,0.0,1.0,0.0,0.00048287822312187336,0.001049597151911408,2.272566198689693e-05,7.871437632932415e-06
50,1.0,0.0,1.0,0.0,0.00048294624646287327,0.0010497489346304714,2.2724270340591416e-05,7.871295366059991e-06
51,1.0,0.0,1.0,0.0,0.0004829463961805434,0.0010497488518027402,2.2723262427189255e-05,7.870139780296568e-06
52,1.0,0.0,1.0,0.0,0.000514176806526429,0.0011195783510631223,2.2311248177816755e-05,7.811539770692739e-06
53,1.0,0.0,1.0,0.0,0.0005138300066136021,0.0011198610651393791,2.1706757464882428e-05,8.587102894303533e-06
54,1.0,0.0,1.0,0.0,0.0005138620323714832,0.0011199299799635673,2.1704756218038416e-05,8.583983622067464e-06
55,1.0,0.0,1.0,0.0,0.000513900709835579,0.0011199086972501942,2.1126013915568856e-05,7.569329938243865e-06
56,1.0,0.0,1.0,0.0,0.000513900709835579,0.0011199086972501942,2.1126013915568856e-05,7.569329938243865e-06
57,1.0,0.0,1.0,0.0,0.0005139629041837717,0.001120047487974019,2.1124893923410476e-05,7.568341503320232e-06
58,1.0,0.0,1.0,0.0,0.0005139630321185358,0.00112004741576099,2.1124438094211793e-05,7.568095815109028e-06
59,1.0,0.0,1.0,0.0,0.0005139630321185358,0.00112004741576099,2.1124438094211793e-05,7.568095815109028e-06
60,1.0,0.0,1.0,0.0,0.0005139630321185358,0.00112004741576099,2.1124438094211793e-05,7.568095815109028e-06
61,1.0,0.0,1.0,0.0,0.0005139631167649392,0.0011200473694083222,2.1123912655677477e-05,7.5672232780142896e-06
62,1.0,0.0,1.0,0.0,0.0005139636433205357,0.0011200470799279931,2.112318317621862e-05,7.56600784370861e-06
63,1.0,0.0,1.0,0.0,0.0005139637432182737,0.00112004702496682,2.1122667448849023e-05,7.565141037460528e-06
64,1.0,0.0,1.0,0.0,0.0005139637279717801,0.0011200470335727473,2.112265803044923e-05,7.565135957792463e-06
65,1.0,0.0,1.0,0.0,0.0005139634720548926,0.0011200471780085214,2.112186616794707e-05,7.565019774489328e-06
66,1.0,0.0,1.0,0.0,0.0005139636000137608,0.0011200471057816442,2.112141083895892e-05,7.564774442888502e-06
67,1.0,0.0,1.0,0.0,0.0005139636247350399,0.0011200470918102054,2.112125845056023e-05,7.565002793763185e-06
68,1.0,0.0,1.0,0.0,0.0005131705601292768,0.001120496055742119,2.019301741065005e-05,7.34556529470135e-06
69,1.0,0.0,1.0,0.0,0.0005131704660517233,0.0011204961091562603,2.019251365317897e-05,7.345603988614116e-06
70,1.0,0.0,1.0,0.0,0.0005131704660517233,0.0011204961091562603,2.019251365317897e-05,7.345603988614116e-06
71,1.0,0.0,1.0,0.0,0.0005131705852708388,0.0011204960414675732,2.0191795244689633e-05,7.345659468468255e-06
72,1.0,0.0,1.0,0.0,0.0005131704912840954,0.0011204960948301456,2.0191292218657695e-05,7.345698524041803e-06
73,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
74,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
75,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
76,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
77,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
78,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
79,1.0,0.0,1.0,0.0,0.0005131360193755196,0.001120515676883033,1.9893791819776543e-05,7.394241686141791e-06
80,1.0,0.0,1.0,0.0,0.0005131360617509931,0.001120515652983322,1.989359465287527e-05,7.394503060992237e-06
81,1.0,0.0,1.0,0.0,0.0005131360617509931,0.001120515652983322,1.989359465287527e-05,7.394503060992237e-06
82,1.0,0.0,1.0,0.0,0.000513196486253688,0.0011204813465737133,1.9596451680794553e-05,7.504491769139099e-06
83,1.0,0.0,1.0,0.0,0.0005131965113676912,0.0011204813323174568,1.9596223213254128e-05,7.504599206985383e-06
84,1.0,0.0,1.0,0.0,0.0005131965113676912,0.0011204813323174568,1.9596223213254128e-05,7.504599206985383e-06
85,1.0,0.0,1.0,0.0,0.0005131965113676912,0.0011204813323174568,1.9596223213254128e-05,7.504599206985383e-06
86,1.0,0.0,1.0,0.0,0.0005131965113676912,0.0011204813323174568,1.9596223213254128e-05,7.504599206985383e-06
87,1.0,0.0,1.0,0.0,0.0005131766431035348,0.001120492611592046,1.913266425392909e-05,7.788826233096576e-06
88,1.0,0.0,1.0,0.0,0.0005131766431035348,0.001120492611592046,1.913266425392909e-05,7.788826233096576e-06
89,1.0,0.0,1.0,0.0,0.0005131766046478442,0.0011204926334250575,1.913247336918691e-05,7.788969548957226e-06
90,1.0,0.0,1.0,0.0,0.0005131765446451917,0.001120492667491253,1.9132180275249463e-05,7.789189643660885e-06
91,1.0,0.0,1.0,0.0,0.0005131765446451917,0.001120492667491253,1.9132180275249463e-05,7.789189643660885e-06
92,1.0,0.0,1.0,0.0,0.0005131766661296219,0.001120492600787366,1.9131311535922297e-05,7.787496284871809e-06
93,1.0,0.0,1.0,0.0,0.0005131768658496106,0.0011204924911265388,1.9130285329877704e-05,7.785496139699429e-06
