iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.988971455422611,0.014549389563102678,0.9923268109114799,0.005386321233007909,0.3622153147330933,0.026703411795743016,0.35746169170357256,0.023692887510788255
1,0.9960878090774308,0.004070211581495743,0.9960621057779223,0.002212324028928301,0.21460269853222663,0.014995449280505831,0.2089779237419961,0.012380509258686811
2,0.9970730307523077,0.004350011199550837,0.9995104039167686,0.0006704070471299794,0.12370531501470161,0.005000939239974502,0.11890068480793362,0.004343026262958592
3,1.0,0.0,0.9995104039167686,0.0006704070471299794,0.08366383778929153,0.008887558727629327,0.07977056638358118,0.008455908357578394
4,1.0,0.0,0.9995104039167686,0.0006704070471299794,0.05674219036034496,0.009381164546018544,0.05336743523266514,0.007999467799509968
5,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.043066185635463376,0.009542715956714387,0.03991418891455564,0.008653216881678232
6,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.03318761532111371,0.006674592126112289,0.030467473106874237,0.006194531118369806
7,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.025231030285100077,0.004774409259719408,0.022964982097825777,0.004002265213142333
8,1.0,0.0,0.9997552019583843,0.0005473850618114811,0.02008797825256098,0.0029233070717824645,0.018165126621369244,0.002637251006279395
9,1.0,0.0,1.0,0.0,0.017602217017170765,0.0024756742650390087,0.015778947458280616,0.0022410081763608557
10,1.0,0.0,1.0,0.0,0.014758781143579125,0.002024742569985716,0.013045055779923464,0.0017207912804672128
11,1.0,0.0,1.0,0.0,0.012676929811340682,0.0021137148323977072,0.011027567478634948,0.0015831485453156764
12,1.0,0.0,1.0,0.0,0.011474851797711998,0.002213945069337374,0.009842054797814049,0.0015957399261715098
13,1.0,0.0,1.0,0.0,0.010495151084070904,0.002340614189610288,0.008881701127615584,0.00170748248085887
14,1.0,0.0,1.0,0.0,0.009633875553100624,0.00225614033204007,0.008068779529994236,0.0016842097607866042
15,1.0,0.0,1.0,0.0,0.009007169351403381,0.002441372325816643,0.007429512621663023,0.0018024368193583539
16,1.0,0.0,1.0,0.0,0.008257277699115126,0.0023706541037246506,0.00671458394050019,0.0016985860823701929
17,1.0,0.0,1.0,0.0,0.007866693555092738,0.0021783527479500844,0.006334018248874416,0.0015488511958888574
18,1.0,0.0,1.0,0.0,0.007385821816812727,0.0022410952023956135,0.0058626302851903,0.0015352708335878821
19,1.0,0.0,1.0,0.0,0.006956401349300287,0.002197326185449244,0.005457040637605996,0.0014616749673134598
20,1.0,0.0,1.0,0.0,0.006667008441922506,0.00215344176422855,0.005180699338713207,0.001417222915256534
21,1.0,0.0,1.0,0.0,0.0062133796840811535,0.0020815938498828703,0.0047799609669670114,0.0013022461757447447
22,1.0,0.0,1.0,0.0,0.005787353321656483,0.0020974410966669702,0.004409216470079302,0.0013126600049614546
23,1.0,0.0,1.0,0.0,0.005567082880919815,0.0021008151218958855,0.004202575712913023,0.0013194242407818563
24,1.0,0.0,1.0,0.0,0.00540002419578395,0.0020308998457355567,0.004032027728230492,0.0012617958742752282
25,1.0,0.0,1.0,0.0,0.005137542579743797,0.001967768302494512,0.0037849833128187427,0.0012025060248524438
26,1.0,0.0,1.0,0.0,0.004935334800526278,0.0018931585963172513,0.003587494680307094,0.0011447017566520808
27,1.0,0.0,1.0,0.0,0.004742902285832479,0.0018732627009871033,0.0034126845369737762,0.0011401702779133835
28,1.0,0.0,1.0,0.0,0.004553135393395089,0.0018225191934906253,0.0032393225055734184,0.0011079727995284305
29,1.0,0.0,1.0,0.0,0.004352885405650972,0.0017452543200645618,0.0030669448512018883,0.001031878286459506
30,1.0,0.0,1.0,0.0,0.00423378759597486,0.001712339086093306,0.0029595391521018526,0.001008892429226048
31,1.0,0.0,1.0,0.0,0.004124333724970448,0.001719607527071437,0.002861473428064313,0.0010196578161345813
32,1.0,0.0,1.0,0.0,0.00398983267461901,0.001676947656066623,0.002743738182765784,0.0009751405647059002
33,1.0,0.0,1.0,0.0,0.0038721335830594608,0.0016037883802572396,0.0026341051203946095,0.0009089082315869333
34,1.0,0.0,1.0,0.0,0.0038036860423867726,0.0015910432532081596,0.0025713127271418993,0.0008978971184555062
35,1.0,0.0,1.0,0.0,0.003748156011587493,0.0015793516178820247,0.0025169545725728768,0.0008848660380790141
36,1.0,0.0,1.0,0.0,0.0037057748484031656,0.0015721604728736022,0.0024723070580346977,0.0008728345346182276
37,1.0,0.0,1.0,0.0,0.003655254957138771,0.001565317714422987,0.002420885080598512,0.0008645795214538778
38,1.0,0.0,1.0,0.0,0.0036049230167699625,0.0015528344297140186,0.0023739477368351068,0.0008524787166008998
39,1.0,0.0,1.0,0.0,0.0035699464842452455,0.001539135418713956,0.002335320549032039,0.0008363178684181609
40,1.0,0.0,1.0,0.0,0.0035390291327046476,0.0015244328274157198,0.002299791538084636,0.0008200787720147203
41,1.0,0.0,1.0,0.0,0.0035010320730360167,0.0015168111631616954,0.0022619468112409155,0.0008092624384474831
42,1.0,0.0,1.0,0.0,0.0034683861708520052,0.0015023007751776049,0.0022264171958781805,0.0007921620419265837
43,1.0,0.0,1.0,0.0,0.003435013359014473,0.0014926652231679095,0.0021920916944393096,0.000780345761821612
44,1.0,0.0,1.0,0.0,0.003395553821788287,0.001477342674868288,0.00215386213922859,0.0007649009082033468
45,1.0,0.0,1.0,0.0,0.003366021482003343,0.0014561344781459445,0.002124882362791859,0.0007451158758746907
46,1.0,0.0,1.0,0.0,0.003341173791651765,0.0014380055476418182,0.0020981766714141853,0.0007261954124509731
47,1.0,0.0,1.0,0.0,0.003314947963993971,0.0014234653072762763,0.002071336487083764,0.0007094763626650709
